ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersion,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorArea,ProjectTypes,RegistrationDate,UnitOfMeasurement
1000035522,No,NAVER Green Factory,178-1 Jeongja-dong Bundang-gu Seongnam-si Gyeonggi-do,Seongnam,,463-867,South Korea,v2009,101,Platinum,9/26/2014,Yes,779685,,9/16/2013,sq ft
1000054161,No,Northgate Building,"55, Saemunan-ro 5-gil, Jongno-gu,",Seoul,,110-052,South Korea,v2009,68,Gold,3/11/2016,Yes,267281,,1/28/2015,sq ft
1000055232,No,SAB Miller,244 Itaewon-ro,Yongsan-gu,,683-141,South Korea,v2009,70,Gold,3/28/2016,Yes,4299,,2/23/2015,sq ft
1000035793,No,Green Smart Innovation Center,"17-6, Mabuk-ro 240beon-gil, Giheung-gu",Yongin-si,,446-716,South Korea,v2009,83,Platinum,5/12/2015,Yes,26589,,9/25/2013,sq ft
1000051905,No,COEX NIKE,COEX Mall  G111,Seoul,,135-975,South Korea,v2009,53,Silver,5/15/2015,Yes,8491,,11/7/2014,sq ft
1000052245,No,EWHA Womans University Magok Hospital,"260, Gonghang-daero, Gangseo-gu",Seoul,,07804,South Korea,v2009,43,Certified,1/29/2019,Yes,1338837,,11/16/2014,sq ft
1000062636,No,The-K Tower,The K Tower,Seoul,,07327,South Korea,v2009,64,Gold,8/9/2018,Yes,70835,,10/11/2015,sq m
1000066070,No,SK plasma L HOUSE Fractionation Center,"157 Goejeong-ri, Pungsan-eup, Andong-si",Andong,,36618,South Korea,v2009,62,Gold,1/9/2017,Yes,199901,,1/13/2016,sq ft
1000065836,No,LG Science Park - LG CNS / LG Chem,D22,Seoul,,07795,South Korea,v2009,59,Silver,1/8/2018,Yes,428275,,1/5/2016,sq ft
1000065844,No,LG Science Park - LG CNS,D25,Seoul,,07795,South Korea,v2009,59,Silver,1/8/2018,Yes,400669,,1/5/2016,sq ft
1000041820,No,ARMY FY15 81230 Family Housing,Army Family Houinsg Tower 1,Camp Walker,,42505,South Korea,v2009,61,Gold,7/7/2019,Yes,233000,,5/1/2014,sq ft
1000060087,No,KARI - Daycare Center,"10, Sinseong-dong, Yuseong-gu",Daejeon,,305-804,South Korea,v2009,55,Silver,3/3/2016,Yes,10747,,7/21/2015,sq ft
1000060862,No,Majestar City Office Tower Two,1501-1 Seocho-dong,Seoul,,06655,South Korea,v2009,81,Platinum,12/12/2017,Yes,307985,,8/17/2015,sq ft
1000065835,No,LG Science Park-LG Household&Healthcare,D22,Seoul,,07795,South Korea,v2009,58,Silver,1/8/2018,Yes,656997,,1/5/2016,sq ft
1000065843,No,LG Science Park - LG Uplus,D25,Seoul,,07795,South Korea,v2009,55,Silver,1/8/2018,Yes,648215,,1/5/2016,sq ft
1000042457,No,KOLON ONE&ONLY TOWER,Magok Industrial Complex,Seoul,,07793,South Korea,v4,61,Gold,10/19/2018,Yes,719428,,5/20/2014,sq ft
1000151651,No,KORNER136,"354-1, Yanghwa-ro, Mapo-gu",Seoul,,04038,South Korea,v4,69,Gold,12/24/2024,Yes,9660,,11/11/2021,sq m
1000055989,No,RC Gimje Petfood,74-8 Bugeo-ri,Gimje,,54326,South Korea,v2009,63,Gold,10/9/2018,Yes,250478,,3/16/2015,sq ft
1000016811,No,SK Chemicals Vaccine Production Factory,"1093,1094,1095, 1096, 1097, 1098 Maegok-ri, Pungsan-eup",Andong,,760-805,South Korea,v2009,60,Gold,9/16/2013,Yes,277455,,6/29/2011,sq ft
1000010100,No,WELCOME CENTER/WAREHOUSE,"U.S. NAVAL BASE, Chinhae-Gu",Changwon,,645-701,South Korea,v2009,52,Silver,10/9/2013,Yes,10553,,10/22/2010,sq ft
1000041837,No,D Tower,"249, Cheongjin-dong, Jongno-gu",Seoul,,110-130,South Korea,v2009,67,Gold,12/2/2014,Yes,1135374,,5/1/2014,sq ft
10323891,No,Songdo IBD Block D17/18,Block D17/18,(New Songdo City) Incheon,,406-130,South Korea,v2.2,,Certified,2/2/2016,Yes,2697636,,10/24/2008,sq ft
1000004895,No,Seoul Finance Centre,,Seoul,,,South Korea,v2009,68,Gold,10/7/2011,Yes,1411539,,2/22/2010,sq ft
1000132022,No,Concordian,"76, Saemunan-ro, Jongno-gu",Seoul,,03185,South Korea,v4,67,Gold,2/17/2021,Yes,41517,,6/5/2020,sq m
1000020131,No,Bloomberg Seoul,"28/F, Mirae Asset Center 1",Seoul,,100-210,Republic of Korea,v2009,83,Platinum,9/7/2012,Yes,11305,,11/13/2011,sq ft
1000092117,No,EAN Technology New HQ,"EAN Building, 11-19, Teheran-ro 77-gil,",Seoul,,06159,South Korea,v2009,63,Gold,7/1/2018,Yes,1997,,10/27/2016,sq m
1000052727,No,IBM Korea HQ Relocation to 3IFC,"6F-14F, 3 IFC Seoul",Seoul,,150-945,South Korea,v2009,60,Gold,6/3/2015,Yes,159205,,12/2/2014,sq ft
1000038799,No,LG Science Park - ISC,Magok District DP3,Seoul,,07796,South Korea,v2009,83,Platinum,3/5/2018,Yes,327188,,1/28/2014,sq m
1000038800,No,LG Science Park - E2 - LG Display,Magok District DP3,Seoul,,07796,South Korea,v2009,53,Silver,3/5/2018,Yes,533056,,1/28/2014,sq m
1000038801,No,LG Science Park - E4 - LG Hausys,Magok District DP3,Seoul,,07796,South Korea,v2009,51,Silver,3/5/2018,Yes,405629,,1/28/2014,sq m
1000038802,No,LG Science Park - LG Chem - S,Magok District DP3,Seoul,,07796,South Korea,v2009,53,Silver,1/28/2021,Yes,729069,,1/28/2014,sq ft
1000038803,No,LG Science Park - E6 - LG Chem,Magok District DP3,Seoul,,07796,South Korea,v2009,53,Silver,3/5/2018,Yes,553754,,1/28/2014,sq m
1000038804,No,LG Science Park - E8 - LG Chem,Magok District DP3,Seoul,,07796,South Korea,v2009,51,Silver,3/12/2018,Yes,423692,,1/28/2014,sq m
1000038805,No,"LG Science Park - E1, E3 - LG Innotek",Magok District DP3,Seoul,,07796,South Korea,v2009,53,Silver,3/5/2018,Yes,759867,,1/28/2014,sq m
1000038806,No,LG Science Park - Shared Lab Center,Magok District DP3,Seoul,,07796,South Korea,v2009,54,Silver,3/5/2018,Yes,604834,,1/28/2014,sq m
1000088930,No,Yeouido Post Tower,"60 Yeouinaru-ro, Yeongdeungpo-gu",Seoul,,07328,Republic of Korea,v2009,80,Platinum,7/8/2021,Yes,621067,,10/25/2016,sq ft
1000016601,No,Grand Hyatt Incheon West Tower,2850-8 UNSEO-DONG JUNG-GU,INCHEON,,400-340,Republic of Korea,v2009,69,Gold,4/13/2015,Yes,763486,,6/21/2011,sq ft
1000208194,No,Tetra Pak Office,"26, Eulji-ro 5-gil, Jung-gu",Seoul,,04539,Republic of Korea,v4,51,Silver,1/21/2025,Yes,677,,8/27/2024,sq m
1000207812,No,Seoul International Tower,"203, Teheran-ro, Gangnam-gu",Seoul,,06141,Republic of Korea,v4,64,Gold,10/29/2024,Yes,48516,,8/20/2024,sq m
1000199039,No,L'OREAL KOREA - Nanda X.O. Project,"517, Yeongdong-daero, Gangnam-gu",Seoul,,06164,Republic of Korea,v4,62,Gold,12/18/2024,Yes,836,,2/29/2024,sq m
1000211160,No,Christian Dior Shinsegae Kangnam Men,"194 Sinbanpo-ro, Seocho-gu",Seoul,,16545,Republic of Korea,v4,60,Gold,7/1/2025,Yes,284,,11/22/2024,sq m
1000211162,No,Christian Dior SSG Airport T1,Incheon International Airport Terminal 1,Incheon,,22382,Republic of Korea,v4,62,Gold,10/22/2025,Yes,304,,11/22/2024,sq m
1000102476,No,Capsule Hotel DARAKHYU by Walkerhill,"272, Gonghang-ro, Jung-gu",Inchon,,22382,Republic of Korea,v4,60,Gold,4/12/2018,Yes,1209,,9/28/2017,sq m
1000102036,No,Burberry Galleria Timeworld CHW,"211, Daedeok-daero, Seo-gu",Daejeon,,00000,Republic of Korea,v4,56,Silver,4/19/2018,Yes,1184,,9/19/2017,sq m
1000192081,No,"DIGITAL EDGE, SEL2","422 ChungChundong, Bupyeong-gu",Incheon,,21314,Republic of Korea,v4,54,Silver,2/10/2025,Yes,30530,,1/29/2024,sq m
1000191770,No,Twin City Namsan - Office and Retail,"366, Hangang dae-ro, Yongsan-gu",Seoul,,04323,Republic of Korea,v4,66,Gold,8/7/2024,Yes,31100,,1/25/2024,sq m
1000154768,No,Burberry Lotte Busan Women,"772 GAYA-DAERO, BUSANJIN-GU",Busan,,47285,Republic of Korea,v4,67,Gold,6/28/2022,Yes,195,,1/19/2022,sq m
1000154961,No,Christian Dior SSG Daejeon Art Men,"1 Expo-ro, Yuseong-gu",Daejeon,,34126,Republic of Korea,v4.1,53,Silver,12/8/2022,Yes,161,,1/22/2022,sq m
1000154971,No,Christian Dior SSG Daejeon Art Women,"1 Expo-ro, Yuseong-gu",Daejeon,,34126,Republic of Korea,v4.1,53,Silver,12/8/2022,Yes,298,,1/23/2022,sq m
1000154973,No,Cartier Maison Cheongdam,"435 Apgujeong-ro, Gangnam-gu",Seoul,,06010,Republic of Korea,v4.1,60,Gold,9/14/2023,Yes,1161,,1/23/2022,sq m
1000158957,No,WSP Korea Head Office,741 Yeongdong-daero Gangnam-gu,Seoul,,06071,Republic of Korea,v4,60,Gold,12/21/2022,Yes,1212,,4/26/2022,sq m
1000159095,No,Semicolon Mullae - Bldg. S,"Mullae-ro 28-gil, Yeongdeungpo-gu",Soul-t'ukpyolsi,,07298,Republic of Korea,v4,84,Platinum,12/11/2022,Yes,35927,,4/28/2022,sq m
1000159314,No,"lululemon, Itaewon, South Korea","200 Itaewon-ro, Yongsan-gu",Seoul,,04405,Republic of Korea,v4,63,Gold,10/6/2022,Yes,676,,5/3/2022,sq m
1000159335,No,C4 Construction Project,"A1-2, Galsan-ri, Tangjeong-myeon, Asan-si",Chungcheongnam-do,,33684,Republic of Korea,v4,50,Silver,2/16/2023,Yes,230207,,5/4/2022,sq ft
1000158764,No,DS Hwasung HPC Center,"214-6, Dongtanwoncheon-ro",Hwaseong,,18448,Republic of Korea,v4,86,Platinum,10/22/2024,Yes,53803,,4/18/2022,sq m
1000159084,No,Gwanghwamun G Tower,"71, Sambong-ro, Jongno-gu, Seoul",seoul,,03150,Republic of Korea,v4,62,Gold,9/28/2022,Yes,29334,,4/27/2022,sq m
1000159094,No,Semicolon Mullae - Bldg. N,"Mullae-ro 28-gil, Yeongdeungpo-gu",Soul-t'ukpyolsi,,07298,Republic of Korea,v4,87,Platinum,12/11/2022,Yes,37385,,4/28/2022,sq m
1000159578,No,Christian Dior SSG Gangnam Women,"194 Sinbanpo-ro, Seocho-gu",Seoul,,16545,Republic of Korea,v4.1,50,Silver,2/22/2023,Yes,365,,5/11/2022,sq m
1000162233,No,East Central Tower,"1077, Cheonho-daero, Gangdong-gu",Seoul,,05340,Republic of Korea,v4,63,Gold,2/27/2023,Yes,87481,,7/11/2022,sq m
1000162243,No,Crystal Square,"106, Cheonggyecheon-ro, Jung-gu",Seoul,,04542,Republic of Korea,v4,84,Platinum,2/20/2023,Yes,14437,,7/11/2022,sq m
1000162274,No,Prada Yongin Shinsegae Gyeonggi B1F,"1285 Jukjeon-dong, Suji-gu, Yongin-si, Gyeonggi-do",Yongin,,10285,Republic of Korea,v4,70,Gold,11/23/2022,Yes,2196,,7/12/2022,sq m
1000162310,No,MAJESTAR City Tower 2,"12, Seocho-daero 38-gil, Seocho-gu",Seoul,,06655,Republic of Korea,v4.1,81,Platinum,10/31/2022,Yes,24396,,7/13/2022,sq m
1000188154,No,Schrodinger Seoul Office  Refresh,621 Sampyeong-dong,Seongnam,,13486,Republic of Korea,v4,41,Certified,7/24/2024,Yes,351,,11/26/2023,sq m
1000205743,No,Incheon TJ Logistics,"37, Gammun 3-ro, Seo-gu",Incheon,,22849,Republic of Korea,v4,62,Gold,12/17/2024,Yes,50051,,6/17/2024,sq m
1000188123,No,Seoul Square Recertification,"416, Hanggang-daero, Jung-gu",Seoul,,04637,Republic of Korea,v4,83,Platinum,12/6/2024,Yes,1190015,,11/23/2023,sq ft
1000110046,No,SEOUL SQUARE Platinum Recertification,"416, Hangang-daero, Jung-Gu",Seoul,,04637,Republic of Korea,v4,87,Platinum,7/29/2019,Yes,1190015,,8/1/2018,sq ft
1000108355,No,IGIS-Korea-Susong Square LEED EB,"19, Yulgok-ro 2-gil",Seoul,,03143,Republic of Korea,v4,55,Silver,12/17/2018,Yes,541575,,5/24/2018,sq m
1000107674,No,City Square,"85-3 Seosomun-dong, Jung-gu,",Seoul,,04514,Republic of Korea,v4,81,Platinum,12/9/2019,Yes,30562,,4/30/2018,sq m
1000193961,No,INNO 88,"88, Yulgok-ro, Jongno-gu",Seoul,,03131,Republic of Korea,v4,66,Gold,10/30/2025,Yes,34115,,2/14/2024,sq m
1000190946,No,Burberry Hyundai Seoul,"108 Yeoui-daero, Yeongdeungpo-gu, Seoul,",Seoul,,00000,Republic of Korea,v4,62,Gold,8/22/2024,Yes,185,,1/15/2024,sq m
1000174856,No,Yeoju Bonduri Logistics,"18-3, Bondu-ri, Ganam-eup","Yeoju-si,",,12646,Republic of Korea,v4,52,Silver,1/18/2024,Yes,96099,,3/27/2023,sq m
1000191378,No,Gwang Myeong Hoe,"679, Jungdae-dong, Dong-gu",Daegu,,41001,Republic of Korea,v4,56,Silver,8/31/2025,Yes,573,,1/18/2024,sq m
1000194328,No,Christian Dior Pangyo Hyundai Baby,"146 Bun-gil 20, Pangyoyeok-ro, Bundang-g",Seongnam,,13529,Republic of Korea,v4,52,Silver,10/14/2024,Yes,98,,2/18/2024,sq m
1000155641,No,Prada Seoul Hyundai APKU Uomo,4th floor of Hyundai Department Store Apgujeong Main Branch,Seoul,,06001,Republic of Korea,v4,68,Gold,5/10/2022,Yes,1227,,2/9/2022,sq m
1000155690,No,DGB Financial Center,"125, Namdaemun-ro, Jung-gu",Seoul,,04521,Republic of Korea,v4,64,Gold,9/4/2022,Yes,19002,,2/10/2022,sq m
1000155677,No,Twin Tree Tower,"6, Yulgok-ro, Jongno-gu",Seoul,,03142,Republic of Korea,v4,83,Platinum,9/27/2022,Yes,492825,,2/9/2022,sq m
1000156848,No,Burberry Lotte Main Seoul Womens,"81 NAMDAEMUN-RO, JUNG-GU",SEOUL,,04533,Republic of Korea,v4,65,Gold,9/5/2022,Yes,1539,,3/9/2022,sq m
1000161746,No,Shinhan Bank Giheung Center,"11, Giheungdanji-ro 158beon-gil, Giheung-gu","Yongin-si,",,17086,Republic of Korea,v4,57,Silver,11/9/2022,Yes,209735,,6/30/2022,sq m
1000176923,No,Seoknam Innovation Logistics Center,224-20 seoknam-dong,Incheon,,22788,Republic of Korea,v4,50,Silver,7/8/2024,Yes,226664,,4/19/2023,sq m
